TableCount	1
TABLE 1 ROWS 156 COLS 9
TT	Tên vật tư	Đơn vị tính	Số lượng	Ký hiệu nhãn mác	Xuất xứ	Thời gian bảo hành	Đơn giá	Thành tiền
17	Đầu bịt ống nhiệt Ø25	Chiếc	100	Tiền Phong	Việt Nam		1.818	181.800
18	Đầu bịt ống nhiệt Ø32	Chiếc	50	Tiền Phong	Việt Nam		2.727	136.350
19	Đầu bịt ống nhiệt Ø40	Chiếc	50	Tiền Phong	Việt Nam		4.545	227.250
20	Vòi đồng Ø21 1/2	Chiếc	50	Tiền Phong	Việt Nam		45.455	2.272.750
21	Cút nhiệt ren trong Ø20 1/2	Chiếc	50	Tiền Phong	Việt Nam		20.000	1.000.000
22	Cút nhiệt ren ngoài Ø20 1/2	Chiếc	50	Tiền Phong	Việt Nam		28.182	1.409.100
23	Cút nhiệt ren trong Ø25 1/2	Chiếc	50	Tiền Phong	Việt Nam		22.727	1.136.350
24	Cút nhiệt ren ngoài Ø25 1/2	Chiếc	50	Tiền Phong	Việt Nam		31.818	1.590.900
25	Cút góc nhiệt Ø20	Chiếc	50	Tiền Phong	Việt Nam		2.727	136.350
26	Cút góc nhiệt Ø25	Chiếc	50	Tiền Phong	Việt Nam		3.636	181.800
27	Mang xông nhiệt Ø20	Chiếc	50	Tiền Phong	Việt Nam		909	45.450
28	Mang xông nhiệt Ø25	Chiếc	50	Tiền Phong	Việt Nam		1.818	90.900
29	Kép Inox Ø21 1/2.	Chiếc	50	Tiền Phong	Việt Nam		7.273	363.650
30	T - Inox Ø 20 1/2	Chiếc	50	Tiền Phong	Việt Nam		21.818	1.090.900
31	T - Inox Ø 25 1/2	Chiếc	50	Tiền Phong	Việt Nam		28.182	1.409.100
32	T - Inox Ø 20 1/2	Chiếc	50	Tiền Phong	Việt Nam		20.000	1.000.000
33	T - Inox Ø 25 1/2	Chiếc	50	Tiền Phong	Việt Nam		36.364	1.818.200
34	Van khoá PVC Ø21	Chiếc	50	Tiền Phong	Việt Nam		15.455	772.750
35	Van khoá PVC Ø27	Chiếc	50	Tiền Phong	Việt Nam		22.727	1.136.350
36	Van khoá PVC Ø34	Chiếc	50	Tiền Phong	Việt Nam		32.727	1.636.350
37	Ống T - nhiệt Ø 20	Chiếc	50	Tiền Phong	Việt Nam		2.727	136.350
38	Ống T - nhiệt Ø 25	Chiếc	50	Tiền Phong	Việt Nam		4.545	227.250
39	Ống T - nhiệt Ø 32	Chiếc	50	Tiền Phong	Việt Nam		8.182	409.100
40	Côn thu ống nhiệt Ø25 - Ø20	Chiếc	50	Tiền Phong	Việt Nam		1.818	90.900
41	Côn thu ống nhiệt Ø32 - Ø20	Chiếc	50	Tiền Phong	Việt Nam		2.727	136.350
42	Côn thu ống nhiệt Ø32 - Ø25	Chiếc	50	Tiền Phong	Việt Nam		2.727	136.350
43	Van phao đồng DN 40	Chiếc	8	Tiền Phong	Việt Nam	12 tháng	753.636	6.029.088
44	Van phao đồng DN 21	Chiếc	10	Tiền Phong	Việt Nam	12 tháng	108.182	1.081.820
45	Van phao đồng DN 27	Chiếc	10	Tiền Phong	Việt Nam	12 tháng	178.182	1.781.820
46	Cút PVC Ø21	Chiếc	50	Tiền Phong	Việt Nam		909	45.450
47	Cút PVC Ø27	Chiếc	50	Tiền Phong	Việt Nam		909	45.450
48	Cút PVC Ø110	Chiếc	30	Tiền Phong	Việt Nam		52.727	1.581.810
